# Chi2 Rg SupportVolume
1.23148e+01 1.55029e+01 2.29997e+06
1.22244e+01 1.55085e+01 2.29997e+06
1.21350e+01 1.55139e+01 2.29997e+06
1.20484e+01 1.55193e+01 2.29997e+06
1.19635e+01 1.55246e+01 2.29997e+06
1.18787e+01 1.55299e+01 2.29997e+06
1.17950e+01 1.55353e+01 2.29997e+06
1.17117e+01 1.55407e+01 2.29997e+06
1.16287e+01 1.55461e+01 2.29997e+06
1.15463e+01 1.55515e+01 2.29997e+06
1.14647e+01 1.55569e+01 2.29997e+06
1.13836e+01 1.55622e+01 2.29997e+06
1.13027e+01 1.55676e+01 2.29997e+06
1.12223e+01 1.55730e+01 2.29997e+06
1.11440e+01 1.55782e+01 2.29997e+06
1.10662e+01 1.55834e+01 2.29997e+06
1.09895e+01 1.55885e+01 2.29997e+06
1.09143e+01 1.55936e+01 2.29997e+06
1.08390e+01 1.55988e+01 2.29997e+06
1.07641e+01 1.56039e+01 2.29997e+06
1.06898e+01 1.56091e+01 2.29997e+06
1.06163e+01 1.56142e+01 2.29997e+06
1.05432e+01 1.56193e+01 2.29997e+06
1.04703e+01 1.56245e+01 2.29997e+06
1.03985e+01 1.56295e+01 2.29997e+06
1.03271e+01 1.56346e+01 2.29997e+06
1.02562e+01 1.56397e+01 2.29997e+06
1.01855e+01 1.56447e+01 2.29997e+06
1.01160e+01 1.56497e+01 2.29997e+06
1.00469e+01 1.56547e+01 2.29997e+06
9.97799e+00 1.56597e+01 2.29997e+06
9.90992e+00 1.56646e+01 2.29997e+06
9.84338e+00 1.56695e+01 2.29997e+06
9.77774e+00 1.56743e+01 2.29997e+06
9.71282e+00 1.56791e+01 2.29997e+06
9.65056e+00 1.56836e+01 2.29997e+06
9.58859e+00 1.56881e+01 2.29997e+06
9.52697e+00 1.56927e+01 2.29997e+06
9.46578e+00 1.56972e+01 2.29997e+06
9.40505e+00 1.57017e+01 2.29997e+06
9.34525e+00 1.57061e+01 2.29997e+06
9.28686e+00 1.57105e+01 2.29997e+06
9.22884e+00 1.57148e+01 2.29997e+06
9.17113e+00 1.57192e+01 2.29997e+06
9.11423e+00 1.57235e+01 2.29997e+06
9.05752e+00 1.57279e+01 2.29997e+06
9.00186e+00 1.57322e+01 2.29997e+06
8.94644e+00 1.57365e+01 2.29997e+06
8.89130e+00 1.57408e+01 2.29997e+06
8.83679e+00 1.57451e+01 2.29997e+06
8.78267e+00 1.57493e+01 2.29997e+06
8.72866e+00 1.57536e+01 2.29997e+06
8.67574e+00 1.57578e+01 2.29997e+06
8.62332e+00 1.57621e+01 2.29997e+06
8.57113e+00 1.57664e+01 2.29997e+06
8.51967e+00 1.57706e+01 2.29997e+06
8.46856e+00 1.57748e+01 2.29997e+06
8.41763e+00 1.57790e+01 2.29997e+06
8.36680e+00 1.57832e+01 2.29997e+06
8.31618e+00 1.57874e+01 2.29997e+06
8.26564e+00 1.57916e+01 2.29997e+06
8.21544e+00 1.57958e+01 2.29997e+06
8.16526e+00 1.58000e+01 2.29997e+06
8.11659e+00 1.58042e+01 2.29997e+06
8.06809e+00 1.58083e+01 2.29997e+06
8.02006e+00 1.58125e+01 2.29997e+06
7.97205e+00 1.58167e+01 2.29997e+06
7.92430e+00 1.58208e+01 2.29997e+06
7.87763e+00 1.58249e+01 2.29997e+06
7.83185e+00 1.58289e+01 2.29997e+06
7.78623e+00 1.58329e+01 2.29997e+06
7.74091e+00 1.58368e+01 2.29997e+06
7.69576e+00 1.58408e+01 2.29997e+06
7.65092e+00 1.58447e+01 2.29997e+06
7.60614e+00 1.58487e+01 2.29997e+06
7.56173e+00 1.58526e+01 2.29997e+06
7.51750e+00 1.58565e+01 2.29997e+06
7.47350e+00 1.58605e+01 2.29997e+06
7.42974e+00 1.58644e+01 2.29997e+06
7.38630e+00 1.58683e+01 2.29997e+06
7.34305e+00 1.58721e+01 2.29997e+06
7.29972e+00 1.58760e+01 2.29997e+06
7.25701e+00 1.58799e+01 2.29997e+06
7.21483e+00 1.58838e+01 2.29997e+06
7.17339e+00 1.58876e+01 2.29997e+06
7.13214e+00 1.58914e+01 2.29997e+06
7.09095e+00 1.58952e+01 2.29997e+06
7.04995e+00 1.58991e+01 2.29997e+06
7.00921e+00 1.59029e+01 2.29997e+06
6.96980e+00 1.59065e+01 2.29997e+06
6.93113e+00 1.59101e+01 2.29997e+06
6.89279e+00 1.59137e+01 2.29997e+06
6.85581e+00 1.59172e+01 2.29997e+06
6.81918e+00 1.59206e+01 2.29997e+06
6.78330e+00 1.59240e+01 2.29997e+06
6.74769e+00 1.59274e+01 2.29997e+06
6.71245e+00 1.59307e+01 2.29997e+06
6.67728e+00 1.59341e+01 2.29997e+06
6.64295e+00 1.59373e+01 2.29997e+06
6.60936e+00 1.59405e+01 2.29997e+06
6.57626e+00 1.59436e+01 2.29997e+06
6.54328e+00 1.59468e+01 2.29997e+06
6.51027e+00 1.59499e+01 2.29997e+06
6.47741e+00 1.59530e+01 2.29997e+06
6.44472e+00 1.59561e+01 2.29997e+06
6.41217e+00 1.59593e+01 2.29997e+06
6.38035e+00 1.59624e+01 2.29997e+06
6.34859e+00 1.59655e+01 2.29997e+06
6.31688e+00 1.59686e+01 2.29997e+06
6.28539e+00 1.59717e+01 2.29997e+06
6.25388e+00 1.59748e+01 2.29997e+06
6.22311e+00 1.59778e+01 2.29997e+06
6.19253e+00 1.59808e+01 2.29997e+06
6.16201e+00 1.59838e+01 2.29997e+06
6.13154e+00 1.59868e+01 2.29997e+06
6.10124e+00 1.59898e+01 2.29997e+06
6.07108e+00 1.59929e+01 2.29997e+06
6.04093e+00 1.59959e+01 2.29997e+06
6.01091e+00 1.59989e+01 2.29997e+06
5.98103e+00 1.60019e+01 2.29997e+06
5.95135e+00 1.60049e+01 2.29997e+06
5.92154e+00 1.60079e+01 2.29997e+06
5.89197e+00 1.60109e+01 2.29997e+06
5.86265e+00 1.60139e+01 2.29997e+06
5.83343e+00 1.60168e+01 2.29997e+06
5.80461e+00 1.60198e+01 2.29997e+06
5.77581e+00 1.60227e+01 2.29997e+06
5.74775e+00 1.60256e+01 2.29997e+06
5.71982e+00 1.60285e+01 2.29997e+06
5.69195e+00 1.60313e+01 2.29997e+06
5.66407e+00 1.60342e+01 2.29997e+06
5.63640e+00 1.60370e+01 2.29997e+06
5.60894e+00 1.60399e+01 2.29997e+06
5.58202e+00 1.60427e+01 2.29997e+06
5.55512e+00 1.60454e+01 2.29997e+06
5.52823e+00 1.60482e+01 2.29997e+06
5.50153e+00 1.60510e+01 2.29997e+06
5.47509e+00 1.60538e+01 2.29997e+06
5.44892e+00 1.60565e+01 2.29997e+06
5.42284e+00 1.60593e+01 2.29997e+06
5.39681e+00 1.60621e+01 2.29997e+06
5.37090e+00 1.60648e+01 2.29997e+06
5.34614e+00 1.60674e+01 2.29997e+06
5.32185e+00 1.60699e+01 2.29997e+06
5.29751e+00 1.60725e+01 2.29997e+06
5.27329e+00 1.60750e+01 2.29997e+06
5.24910e+00 1.60776e+01 2.29997e+06
5.22568e+00 1.60800e+01 2.29997e+06
5.20247e+00 1.60825e+01 2.29997e+06
5.17921e+00 1.60850e+01 2.29997e+06
5.15601e+00 1.60875e+01 2.29997e+06
5.13281e+00 1.60900e+01 2.29997e+06
5.10998e+00 1.60924e+01 2.29997e+06
5.08730e+00 1.60948e+01 2.29997e+06
5.06466e+00 1.60972e+01 2.29997e+06
5.04202e+00 1.60997e+01 2.29997e+06
5.01952e+00 1.61021e+01 2.29997e+06
4.99887e+00 1.61043e+01 2.29997e+06
4.97834e+00 1.61065e+01 2.29997e+06
4.95790e+00 1.61087e+01 2.29997e+06
4.93758e+00 1.61108e+01 2.29997e+06
4.91723e+00 1.61130e+01 2.29997e+06
4.89728e+00 1.61151e+01 2.29997e+06
4.87813e+00 1.61172e+01 2.29997e+06
4.85899e+00 1.61193e+01 2.29997e+06
4.83991e+00 1.61213e+01 2.29997e+06
4.82117e+00 1.61234e+01 2.29997e+06
4.80243e+00 1.61254e+01 2.29997e+06
4.78369e+00 1.61274e+01 2.29997e+06
4.76512e+00 1.61295e+01 2.29997e+06
4.74635e+00 1.61315e+01 2.29997e+06
4.72779e+00 1.61335e+01 2.29997e+06
4.70933e+00 1.61356e+01 2.29997e+06
4.69092e+00 1.61376e+01 2.29997e+06
4.67252e+00 1.61397e+01 2.29997e+06
4.65477e+00 1.61416e+01 2.29997e+06
4.63702e+00 1.61436e+01 2.29997e+06
4.61933e+00 1.61456e+01 2.29997e+06
4.60166e+00 1.61476e+01 2.29997e+06
4.58401e+00 1.61496e+01 2.29997e+06
4.56641e+00 1.61515e+01 2.29997e+06
4.54906e+00 1.61535e+01 2.29997e+06
4.53235e+00 1.61554e+01 2.29997e+06
4.51583e+00 1.61572e+01 2.29997e+06
4.49984e+00 1.61589e+01 2.29997e+06
4.48424e+00 1.61606e+01 2.29997e+06
4.46854e+00 1.61624e+01 2.29997e+06
4.45283e+00 1.61641e+01 2.29997e+06
